Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;POA;PORTAL DE POA AUTO POSTO LTDA; 04.576.763/0001-36;RODOVIA JOAO AFONSO DE SOUZA CASTELLANO;1890;;VILA JAU;08559-000;GASOLINA;05/02/2026;6,15;;R$ / litro;BRANCA
SE;SP;POA;PORTAL DE POA AUTO POSTO LTDA; 04.576.763/0001-36;RODOVIA JOAO AFONSO DE SOUZA CASTELLANO;1890;;VILA JAU;08559-000;ETANOL;05/02/2026;4,29;;R$ / litro;BRANCA
SE;SP;POA;AUTO POSTO PEKNY LTDA; 03.136.505/0001-76;RUA JOAO PECKNY;1498;;JARDIM EMILIA;08550-000;GASOLINA;05/02/2026;6,69;;R$ / litro;VIBRA
SE;SP;POA;AUTO POSTO PEKNY LTDA; 03.136.505/0001-76;RUA JOAO PECKNY;1498;;JARDIM EMILIA;08550-000;ETANOL;05/02/2026;4,89;;R$ / litro;VIBRA
SE;SP;SUZANO;AUTO POSTO DONA BENTA LTDA; 07.575.173/0001-87;AVENIDA FRANCISCO MARENGO;2455;;JARDIM DONA BENTA;08694-520;GASOLINA;05/02/2026;5,79;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO DONA BENTA LTDA; 07.575.173/0001-87;AVENIDA FRANCISCO MARENGO;2455;;JARDIM DONA BENTA;08694-520;ETANOL;05/02/2026;4,19;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SUZAN PETRO LTDA; 04.409.786/0001-56;AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD;300;;VILA MALUF;08674-210;GASOLINA;05/02/2026;5,82;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SUZAN PETRO LTDA; 04.409.786/0001-56;AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD;300;;VILA MALUF;08674-210;ETANOL;05/02/2026;4,22;;R$ / litro;BRANCA
SE;MG;GUAXUPE;SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA.; 05.282.048/0002-34;AVENIDA FELIPE ELIAS ZEITUNE;130;;CENTRO;37800-000;GASOLINA;05/02/2026;5,89;;R$ / litro;BRANCA
SE;MG;GUAXUPE;SAO PAULO MINAS COMERCIO DERIVADOS DE PETROLEO LTDA.; 05.282.048/0002-34;AVENIDA FELIPE ELIAS ZEITUNE;130;;CENTRO;37800-000;ETANOL;05/02/2026;4,39;;R$ / litro;BRANCA
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;GASOLINA;05/02/2026;6,44;;R$ / litro;IPIRANGA
SE;MG;PARA DE MINAS;AUTO POSTO MR LTDA; 05.835.706/0001-97;AVENIDA PROFESSOR MELLO CANCADO;521;;SAO JOSE;35660-573;ETANOL;05/02/2026;4,99;;R$ / litro;IPIRANGA
SE;MG;PARA DE MINAS;POSTO J H S LTDA; 04.510.593/0001-97;RUA JOAO DO NETO;220;POSTO;CENTRO;35660-043;GASOLINA;05/02/2026;6,27;;R$ / litro;ALE
SE;MG;PARA DE MINAS;POSTO J H S LTDA; 04.510.593/0001-97;RUA JOAO DO NETO;220;POSTO;CENTRO;35660-043;ETANOL;05/02/2026;4,59;;R$ / litro;ALE
NE;BA;VALENCA;ORGANIZACAO GUAIBIM LTDA; 01.878.111/0001-68;AVENIDA ANTONIO C MAGALHAES;500;CASA;SAO FELIX;45400-000;GASOLINA;05/02/2026;6,49;;R$ / litro;RAIZEN
NE;BA;VALENCA;ORGANIZACAO GUAIBIM LTDA; 01.878.111/0001-68;AVENIDA ANTONIO C MAGALHAES;500;CASA;SAO FELIX;45400-000;ETANOL;05/02/2026;5,09;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA; 16.496.705/0007-77;AVENIDA PRESIDENTE DUTRA;1199;;CAPUCHINHOS;44088-455;GASOLINA;05/02/2026;6,29;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA; 16.496.705/0007-77;AVENIDA PRESIDENTE DUTRA;1199;;CAPUCHINHOS;44088-455;ETANOL;05/02/2026;4,79;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0010-70;AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO;2830;;CASEB;44052-004;GASOLINA;05/02/2026;6,29;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0010-70;AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO;2830;;CASEB;44052-004;ETANOL;05/02/2026;4,79;;R$ / litro;RAIZEN
